date,rate
2003-12-01,1.259002
2004-01-01,1.245206
2004-02-01,1.253007
2004-03-01,1.231300
2004-04-01,1.198294
2004-05-01,1.219899
2004-06-01,1.218398
2004-07-01,1.201605
2004-08-01,1.217804
2004-09-01,1.243394
2004-10-01,1.283203
2004-11-01,1.329805
2004-12-01,1.356502
2005-01-01,1.305193
2005-02-01,1.321702
2005-03-01,1.296697
2005-04-01,1.292307
2005-05-01,1.230800
2005-06-01,1.209102
2005-07-01,1.212400
2005-08-01,1.234096
2005-09-01,1.202805
2005-10-01,1.198897
2005-11-01,1.180498
2005-12-01,1.184399
2006-01-01,1.214845
2006-02-01,1.193004
2006-03-01,1.211504
2006-04-01,1.262499
2006-05-01,1.281608
2006-06-01,1.278298
2006-07-01,1.277400
2006-08-01,1.280902
2006-09-01,1.269100
2006-10-01,1.276699
2006-11-01,1.325100
2006-12-01,1.319801
2007-01-01,1.302304
2007-02-01,1.322891
2007-03-01,1.335898
2007-04-01,1.365206
2007-05-01,1.345605
2007-06-01,1.353601
2007-07-01,1.367204
2007-08-01,1.364201
2007-09-01,1.427002
2007-10-01,1.447199
2007-11-01,1.469594
2007-12-01,1.460110
2008-01-01,1.486503
2008-02-01,1.519203
2008-03-01,1.575796
2008-04-01,1.562207
2008-05-01,1.555791
2008-06-01,1.575002
2008-07-01,1.559308
2008-08-01,1.469508
2008-09-01,1.409642
2008-10-01,1.270196
2008-11-01,1.267507
2008-12-01,1.397995
2009-01-01,1.285099
2009-02-01,1.267893
2009-03-01,1.324696
2009-04-01,1.323522
2009-05-01,1.412090
2009-06-01,1.403883
2009-07-01,1.426005
2009-08-01,1.434268
2009-09-01,1.465502
2009-10-01,1.473297
2009-11-01,1.503895
2009-12-01,1.432706
2010-01-01,1.387694
2010-02-01,1.363791
2010-03-01,1.350804
2010-04-01,1.329805
2010-05-01,1.228788
2010-06-01,1.223002
2010-07-01,1.304002
2010-08-01,1.266592
2010-09-01,1.362806
2010-10-01,1.377809
2010-11-01,1.310393
2010-12-01,1.330123
2011-01-01,1.357276
2011-02-01,1.373438
2011-03-01,1.412130
2011-04-01,1.482096
2011-05-01,1.432234
2011-06-01,1.447890
2011-07-01,1.433199
2011-08-01,1.443314
2011-09-01,1.358585
2011-10-01,1.414007
2011-11-01,1.332410
2011-12-01,1.295605
2012-01-01,1.313957
2012-02-01,1.347800
2012-03-01,1.334508
2012-04-01,1.324152
2012-05-01,1.237471
2012-06-01,1.266496
2012-07-01,1.225941
2012-08-01,1.251095
2012-09-01,1.284505
2012-10-01,1.296260
2012-11-01,1.297353
2012-12-01,1.322769
2013-01-01,1.356834
2013-02-01,1.315097
2013-03-01,1.280787
2013-04-01,1.309586
2013-05-01,1.304393
2013-06-01,1.301304
2013-07-01,1.326489
2013-08-01,1.322401
2013-09-01,1.349546
2013-10-01,1.372401
2013-11-01,1.359398
2013-12-01,1.381006
2014-01-01,1.355877
2014-02-01,1.370746
2014-03-01,1.375213
2014-04-01,1.381368
2014-05-01,1.363457
2014-06-01,1.364443
2014-07-01,1.339603
2014-08-01,1.313456
2014-09-01,1.269084
2014-10-01,1.261336
2014-11-01,1.243797
2014-12-01,1.216205
2015-01-01,1.128796
2015-02-01,1.119796
2015-03-01,1.083025
2015-04-01,1.111432
2015-05-01,1.096035
2015-06-01,1.122297
2015-07-01,1.093924
2015-08-01,1.121403
2015-09-01,1.125594
2015-10-01,1.100897
2015-11-01,1.058302
2015-12-01,1.093398
2016-01-01,1.082591
2016-02-01,1.092395
2016-03-01,1.133466
2016-04-01,1.144833
2016-05-01,1.114840
2016-06-01,1.112805
2016-07-01,1.116807
2016-08-01,1.115324
2016-09-01,1.121957
2016-10-01,1.098467
2016-11-01,1.064849
2016-12-01,1.052000
2017-01-01,1.070859
2017-02-01,1.058425
2017-03-01,1.068707
2017-04-01,1.090750
2017-05-01,1.117169
2017-06-01,1.144165
2017-07-01,1.174729
2017-08-01,1.189343
2017-09-01,1.174164
2017-10-01,1.165270
2017-11-01,1.185199
2017-12-01,1.200005
2018-01-01,1.240957
2018-02-01,1.223032
2018-03-01,1.233198
2018-04-01,1.212283
2018-05-01,1.166725
2018-06-01,1.170494
2018-07-01,1.170741
2018-08-01,1.166466
2018-09-01,1.162304
2018-10-01,1.134636
2018-11-01,1.139277
2018-12-01,1.143995
2019-01-01,1.148765
2019-02-01,1.138019
2019-03-01,1.123305
2019-04-01,1.118518
2019-05-01,1.113115
2019-06-01,1.139095
2019-07-01,1.115797
2019-08-01,1.101200
2019-09-01,1.094271
2019-10-01,1.115449
2019-11-01,1.102000
2019-12-01,1.120230
2020-01-01,1.102913
2020-02-01,1.103000
2020-03-01,1.103047
2020-04-01,1.087725
2020-05-01,1.111000
2020-06-01,1.124720
2020-07-01,1.187225
2020-08-01,1.191824
2020-09-01,1.174205
2020-10-01,1.167679
2020-11-01,1.197146
2020-12-01,1.229990
2021-01-01,1.213900
2021-02-01,1.207361
2021-03-01,1.172360
2021-04-01,1.212709
2021-05-01,1.219007
2021-06-01,1.190193
2021-07-01,1.186780
2021-08-01,1.179690
2021-09-01,1.160160
2021-10-01,1.156136
2021-11-01,1.129344
2021-12-01,1.132503
2022-01-01,1.115237
2022-02-01,1.118105
2022-03-01,1.116184
2022-04-01,1.054630
2022-05-01,1.077354
2022-06-01,1.044659
2022-07-01,1.022704
2022-08-01,1.002506
2022-09-01,0.982956
2022-10-01,0.995500
2022-11-01,1.032450
2022-12-01,1.072846
2023-01-01,1.085069
2023-02-01,1.061121
2023-03-01,1.090465
2023-04-01,1.112842
2023-05-01,1.073307
2023-06-01,1.086803
2023-07-01,1.102426
2023-08-01,1.093255
2023-09-01,1.058761
2023-10-01,1.061504
2023-11-01,1.097370
2023-12-01,1.105583
2024-01-01,1.084340
2024-02-01,1.083882
2024-03-01,1.080147
2024-04-01,1.071570
2024-05-01,1.083541
2024-06-01,1.072156
2024-07-01,1.081607
2024-08-01,1.106195
2024-09-01,1.116982
2024-10-01,1.085918
2024-11-01,1.058089
2024-12-01,1.040615
2025-01-01,1.039728
2025-02-01,1.039512
2025-03-01,1.082392
